# Data for CCAM																																																																																																																																																																																																					
# y																																																																																																																																																																																																						
1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013																																																																																																																																																									
# a																																																																																																																																																																																																						
1	2	3	4	5	6	7	8	9	10																																																																																																																																																																																													
# logClower																																																																																																																																																																																																						
17.07733	16.87173	16.7917	17.00516	17.08062	17.35685	17.5603	17.02526	17.05124	16.92951	17.05152	17.22484	16.91272	16.77541	16.61145	16.80079	16.66801	17.2121	17.16433	17.12941	16.99569	16.85304	16.89696	17.06971	17.08819	17.10062	16.8519	16.7229	16.86122	16.8745	16.75679	16.68879	16.69785	17.01312	17.36648	17.62022	17.79948	17.82796	17.80375	17.79321	17.20568	17.55869	17.47228	16.26081	15.68238	15.96331																																																																																																																																																									
# logCmean																																																																																																																																																																																																						
17.27244814	17.1065072	17.04376314	17.21345286	17.27515551	17.50777484	17.68510064	17.22980943	17.25103359	17.1524765	17.25126044	17.3953456	17.13905588	17.03112745	16.90658262	17.05083681	16.9489896	17.38460825	17.34456348	17.3154861	17.20577194	17.09175838	17.20015999	17.32619365	17.33622916	17.34167395	17.14649909	17.04629518	17.14849236	17.15869472	17.07165465	17.02273972	17.02948376	17.26709187	17.55264384	17.76861626	17.92587943	17.95188943	17.93235525	17.92492331	17.43448914	17.72697641	17.65684788	16.66627699	16.08784032	16.36877699																																																																																																																																																									
# logCupper																																																																																																																																																																																																						
17.43564	17.29651	17.24491	17.38575	17.43794	17.63888	17.79604	17.39954	17.41748	17.33468	17.41767	17.54097	17.3235	17.23459	17.13417	17.2507	17.16809	17.53169	17.49722	17.47231	17.37929	17.28433	17.4325	17.53014	17.53481	17.53576	17.37377	17.29027	17.37139	17.37974	17.31076	17.27265	17.2781	17.46945	17.70953	17.89781	18.03808	18.06214	18.04629	18.04129	17.62057	17.87098	17.8126	16.95396	16.37552	16.65646																																																																																																																																																									
# crl																																																																																																																																																																																																						
43062	5692	20277	7156	1	9176	8618	14206	1686	740	2	204	6	6145	2145	244	60	357	363	1291	117	2399	390	646	628	117	672	10603	2505	5083	1927	1348	28460	8215	6088	3763	27524	17391	31651	2968	23622	38026	5402	2288	193	346																																																																																																																																																									
7157	26359	3654	7389	136	20624	24340	24905	21171	7136	182	480	1455	2836	5899	1622	19774	511	4282	3118	703	8862	6222	6106	2627	4900	231	14206	8050	11823	18525	4463	2689	60111	3832	4381	24574	42971	14756	31233	8120	24443	31923	1230	10775	3651																																																																																																																																																									
10343	18057	33584	1702	4401	9649	26703	13049	27110	22566	3831	1189	2156	5143	1609	2459	14060	23790	3259	3358	1028	1276	9737	17808	3014	8493	3896	698	7052	10923	9977	14625	1800	11234	70334	5832	6017	24381	41630	22784	25964	6613	28384	11611	1969	11601																																																																																																																																																									
7393	2027	8047	35931	5541	9333	14602	11636	10982	11319	14733	6615	1463	1183	5004	915	1413	12844	40844	2288	1932	937	1457	9560	14148	4497	5905	4674	1013	4604	9560	7509	5465	2482	6047	73840	4753	4007	21769	43885	8655	28416	3829	6091	3142	735																																																																																																																																																									
2819	929	2496	7620	24826	13972	12594	7052	7740	3683	11575	17202	5087	1656	715	4012	781	1252	11522	27133	2481	1541	888	1212	8630	13011	2856	4093	5380	638	4291	4698	2869	4184	2275	8480	56010	3807	3765	11105	12703	6363	13988	639	332	1549																																																																																																																																																									
1349	855	451	1753	4975	22293	12417	7526	3868	2570	6358	12321	9833	4669	1609	478	1551	656	933	5692	24769	575	966	762	1411	7686	13672	1768	6519	3709	505	2049	2941	842	2136	1123	2457	40391	1917	2471	1631	9425	2033	3100	34	97																																																																																																																																																									
721	1099	425	2203	5248	8317	15377	5456	4922	809	3157	5590	6148	7743	2623	946	339	2197	485	232	4493	20957	639	1052	733	1660	5977	5757	1622	3081	2432	478	458	870	538	1199	1322	1680	17117	1328	633	358	3286	336	113	0																																																																																																																																																									
1658	440	1578	1526	77	2771	4053	3917	3977	1443	1649	2282	2692	3309	4828	3119	479	289	635	183	227	2693	16765	849	1048	651	929	2281	7094	545	2024	681	65	144	407	32	606	746	448	4819	218	127	83	474	7	0																																																																																																																																																									
10425	462	1645	1879	546	837	1714	825	3123	897	1402	1702	1604	1595	1549	7770	2022	551	117	83	131	369	923	10964	884	699	244	203	1806	4212	412	663	195	33	48	5	9	81	36	39	1033	5	1	25	1	0																																																																																																																																																									
97	9656	4335	5517	6833	1603	1749	581	1165	1721	2497	2457	1998	1892	2504	3601	5640	7605	1915	716	572	781	277	557	11142	6882	2925	590	893	785	1472	354	371	371	73	0	0	45	0	7	9	482	132	40	0	0																																																																																																																																																									
# M																																																																																																																																																																																																						
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2																																																																																																																																																									
# Weight																																																																																																																																																																																																						
0.123	0.112	0.082	0.08	0.099	0.087	0.088	0.082	0.068	0.072	0.161	0.135	0.099	0.066	0.117	0.076	0.049	0.165	0.118	0.157	0.16	0.121	0.256	0.231	0.149	0.125	0.204	0.152	0.173	0.225	0.114	0.14	0.179	0.096	0.115	0.178	0.177	0.065	0.166	0.173	0.13	0.161	0.105	0.14	0.126	0.135																																																																																																																																																									
0.216	0.178	0.153	0.139	0.152	0.153	0.147	0.14	0.132	0.139	0.18	0.229	0.267	0.215	0.197	0.198	0.126	0.196	0.249	0.224	0.292	0.258	0.237	0.307	0.273	0.227	0.258	0.264	0.256	0.29	0.256	0.216	0.247	0.241	0.202	0.225	0.241	0.255	0.186	0.251	0.246	0.235	0.269	0.208	0.253	0.227																																																																																																																																																									
